District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
330,Uttar Dinajpur,3007134,3214,2883,West Bengal,26.044619165196977,88.23595232216337,50.0,94.0
331,Dakshin Dinajpur,1676276,2039,2518,West Bengal,25.342094363021435,88.69821679819614,65.0,96.0
332,Maldah,3988845,4191,5357,West Bengal,25.08026802575105,88.17191684549356,52.0,94.0
333,Murshidabad,7103807,8088,7951,West Bengal,24.25950655391121,88.16816860465121,57.0,96.0
334,Birbhum,3502404,3911,5210,West Bengal,24.06389342723,87.65153089201888,62.0,96.0
335,Barddhaman,7717563,13547,32323,West Bengal,23.444453888888884,87.8150581111111,68.0,95.0
336,Nadia,5167600,7048,12787,West Bengal,23.56410971055088,88.58293034547152,67.0,95.0
338,Hugli,5519145,9450,31725,West Bengal,22.87929264705881,88.00010264705891,74.0,96.0
339,Bankura,3596674,3959,4273,West Bengal,23.081280892857155,87.12640053571437,62.0,96.0
340,Puruliya,2930115,3309,3551,West Bengal,23.254192328767108,86.3968532876713,55.0,96.0
341,Haora,4850029,9414,30751,West Bengal,22.401674174428507,87.99421176968654,74.0,94.0
342,Kolkata,4496694,16375,136618,West Bengal,22.550581481481483,88.3527648148148,80.0,91.0
346,Garhwa,1322784,1017,565,Jharkhand,24.082114689265527,83.68664265536722,49.0,94.0
347,Chatra,1042886,817,590,Jharkhand,24.11619945750453,84.93295804701627,49.0,95.0
349,Giridih,2445474,2384,1944,Jharkhand,24.30578509874329,86.08710915619386,51.0,94.0
350,Deoghar,1492073,1267,1944,Jharkhand,24.33070100755672,86.75697632241814,53.0,93.0
351,Godda,1313551,1057,874,Jharkhand,24.8189,87.2941735483871,46.0,94.0
352,Sahibganj,1150567,954,591,Jharkhand,24.93667989690721,87.68264097938142,42.0,95.0
353,Pakur,900422,691,328,Jharkhand,24.57260428082189,87.69691969178076,39.0,99.0
354,Dhanbad,2684487,3954,11568,Jharkhand,23.854509090909097,86.40372924901185,64.0,91.0
355,Bokaro,2062330,3604,9754,Jharkhand,23.6814965034965,85.98398374125864,62.0,92.0
